"Date","Title","Price","No of Rating","Manufacturer","ASIN","Best_Seller_In","Sold By","Rating","International Ratings","Global Rating","Url"
"2022-12-27","Motor Trend AquaShield Black Waterproof Rear Bench Car Seat Cover – Padded Neoprene Back Seat Cover for Cars, Ideal Back Seat Protector for Kids & Dogs, Interior Covers for Auto Truck Van SUV","","7,930 ratings","BDK","B07G9KSTLD","","","","There are 0 reviews and 0 ratings from Singapore","7,930 global ratings","https://www.amazon.sg/Motor-Trend-AquaShield-Black-Waterproof/dp/B07G9KSTLD/ref=zg_bs_automotive_sccl_11/357-1402573-5534539?psc=1"
"2022-12-27","Renogy 12V 20A DC to DC On-Board Battery Charger for Flooded, Gel, AGM, and Lithium, Using Multi-Stage Charging in RVs, Commercial Vehicles, Boats, Yachts, 20A","","812 ratings","Renogy","B07Q5VYPCF","in Car Parts","","4.5 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","812 global ratings","https://www.amazon.sg/Renogy-12V-20A-DC-Multi-Stage/dp/B07Q5VYPCF/ref=zg_bs_automotive_sccl_12/357-1402573-5534539?psc=1"
"2022-12-27","Forever Black Black-Top Gel with Applicator - Black Convertible Top Dye for Restoring Black Color of Car Top","","","Forever Car Care Products","B0053CS4I0","","","","There are 0 reviews and 0 ratings from Singapore","","https://www.amazon.sg/Forever-Black-Black-Top-Gel-Applicator/dp/B0053CS4I0/ref=zg_bs_automotive_sccl_13/357-1402573-5534539?psc=1"
"2022-12-27","Steelex D3573 Forstner Bit Set with Hex Shank, 16-Piece brown 5 pounds","","758 ratings","Steelex","B0015O9CDG","in Drill Bits","","4.4 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","758 global ratings","https://www.amazon.sg/Steelex-D3573-Forstner-16-Piece-pounds/dp/B0015O9CDG/ref=zg_bs_automotive_sccl_14/357-1402573-5534539?psc=1"
"2022-12-27","K&N Engine Air Filter: High Performance, Premium, Washable, Replacement Car Air Filter: Compatible with 2016-2019 Honda Civic L4 2.0L, 33-5045","","437 ratings","K&N Engineering","B01JMI7DSW","in Car Filters","","","","437 global ratings","https://www.amazon.sg/Engine-Air-Filter-Performance-Replacement/dp/B01JMI7DSW/ref=zg_bs_automotive_sccl_15/357-1402573-5534539?psc=1"
"2022-12-27","Scott Shop Towels Original (75147), Blue, 55 Sheets/Standard Roll, 12 Rolls/Case, 660 Towels/Case","","1,499 ratings","Kimberly Clark Professional","B0035BTQ06","","","4.7 out of 5 stars","","1,499 global ratings","https://www.amazon.sg/Towels-Original-75147-Sheets-Standard/dp/B0035BTQ06/ref=zg_bs_automotive_sccl_16/357-1402573-5534539?psc=1"
"2022-12-27","Sonax 340100 Rubber Protectant","","6,198 ratings","Sonax GmbH","B0012AW4RO","in Automotive Interior Care Products","","4.5 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","6,198 global ratings","https://www.amazon.sg/SONAX-03401000-340100-Rubber-Protectant/dp/B0012AW4RO/ref=zg_bs_automotive_sccl_17/357-1402573-5534539?psc=1"
"2022-12-27","Polyte Microfibre Cleaning Cloth 30x40 cm, Blue, Green, Yellow (12)","","5,322 ratings","Mainland Textiles LLC","B07GC932MF","","","4.7 out of 5 stars","","5,322 global ratings","https://www.amazon.sg/Polyte-Microfibre-Cleaning-Cloth-Yellow/dp/B07GC932MF/ref=zg_bs_automotive_sccl_18/357-1402573-5534539?psc=1"
"2022-12-27","Kinder Fluff Window Shade (4px) – The Only Certified Sunshade Proven to Block 99.79% UVA & 99.95% UVB. Winner of Mom's Choice Gold Award. Baby Sun Shades Pilot Level Protection for Cars, SUV, Aircraft","","3,517 ratings","kinder Fluff","B084QHVL6S","","","4.3 out of 5 stars","","3,517 global ratings","https://www.amazon.sg/Kinder-Fluff-Window-Shade-4px/dp/B084QHVL6S/ref=zg_bs_automotive_sccl_19/357-1402573-5534539?psc=1"
"2022-12-27","S3XYWORLD Tesla Model 3/Y Air Freshener-White Tea Scent-Invisible Slim Design-Long Lasting-Aromatherapy Scent-Auto Odor Eliminator (Flourish Flowers) (Flourish Flowers Set)","","45 ratings","S3XYWORLD","B09KC2VGNV","","","","There are 0 reviews and 0 ratings from Singapore","45 global ratings","https://www.amazon.sg/S3XYWORLD-Freshener-White-Scent-Invisible-Design-Long-Lasting-Aromatherapy/dp/B09KC2VGNV/ref=zg_bs_automotive_sccl_20/357-1402573-5534539?psc=1"
"2022-12-27","Chemical Guys AIR_301 Best Air Freshener Kit - New Car Scent, Leather Scent & Signature Stripper Scent (3) 16 oz. Bottles","","2,941 ratings","Chemical Guys","B01J588HPM","","","4.3 out of 5 stars","","2,941 global ratings","https://www.amazon.sg/Chemical-Guys-AIR_301-Best-Freshener/dp/B01J588HPM/ref=zg_bs_automotive_sccl_21/357-1402573-5534539?psc=1"
"2022-12-27","VibraWipe Microfiber Cleaning Cloths, 8 Pieces, 14.2 In X 14.2 In. Highly Absorbent, Lint And Streak Free, Wash Cloth For, Car, Window…","","516 ratings","VibraWipe","B00I95PZUS","","","","There are 0 reviews and 0 ratings from Singapore","516 global ratings","https://www.amazon.sg/VibraWipe-Microfiber-Cleaning-Cloths-Absorbent/dp/B00I95PZUS/ref=zg_bs_automotive_sccl_22/357-1402573-5534539?psc=1"
"2022-12-27","Permatex 25228 The Right Stuff 90 Minute Gasket Maker, Black","","741 ratings","Permatex","B07R4C3KJB","in Automotive","","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","741 global ratings","https://www.amazon.sg/Permatex-25228-Right-Minute-Gasket/dp/B07R4C3KJB/ref=zg_bs_automotive_sccl_23/357-1402573-5534539?psc=1"
"2022-12-27","Yankee Candle Car Jar Ultimate Hanging Air Freshener 3-Pack (Bahama Breeze, Black Coconut, and Turquoise Sky)","","5,784 ratings","Yankee Candle","B071XX5J28","","","","","5,784 global ratings","https://www.amazon.sg/Ultimate-Hanging-Freshener-Coconut-Turquoise/dp/B071XX5J28/ref=zg_bs_automotive_sccl_24/357-1402573-5534539?psc=1"
"2022-12-27","Puig 6319W CLIP-ON VISOR [CLEAR] Variable Clip Visor Motorcycle Bike Parts Screen","","11 ratings","プーチ(Puig)","B00COYBP0Y","","","4.3 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","11 global ratings","https://www.amazon.sg/Puig-6319W-Variable-Motorcycle-Screen/dp/B00COYBP0Y/ref=zg_bs_automotive_sccl_25/357-1402573-5534539?psc=1"
"2022-12-27","ZYHW Universal Black Zipper Closure Gear Shift Knob Cover Sleeve Fits for Manual Car","","300 ratings","ZYHW","B075TWGMZ4","in Car Styling & Body Fittings","","","There are 0 reviews and 0 ratings from Singapore","300 global ratings","https://www.amazon.sg/ZYHW-Universal-Zipper-Closure-Sleeve/dp/B075TWGMZ4/ref=zg_bs_automotive_sccl_26/357-1402573-5534539?psc=1"
"2022-12-27","SURDOCA Car Trunk Organizer, 3rd Gen [7 Times Upgrade] Super Capacity Car Organizer, Equipped with [Robust Elastic Net & 3 Magic Stick] Car Trunk Tidy Storage Bag with Lids, Space Saving Expert-Black","","19,419 ratings","SURDOCA","B0768938CP","in Car Stowing & Tidying","","4.5 out of 5 stars","","19,419 global ratings","https://www.amazon.sg/SURDOCA-Organizer-Capacity-Equipped-Expert-Black/dp/B0768938CP/ref=zg_bs_automotive_sccl_27/357-1402573-5534539?psc=1"
"2022-12-27","INNOVA 3320 Auto-Ranging Digital Multimeter","","8,311 ratings","INNOVA","B000EVYGZA","","","4.4 out of 5 stars","There are 0 reviews and 1 rating from Singapore","8,311 global ratings","https://www.amazon.sg/INNOVA-3320-Auto-Ranging-Digital-Multimeter/dp/B000EVYGZA/ref=zg_bs_automotive_sccl_28/357-1402573-5534539?psc=1"
"2022-12-27","PG Cabin Air Filter PC4255C| Fits 2012-16 BMW 328i, 2013-16 328i xDrive, 2012-18 320i, 2013-18 320i xDrive, 17-19 330i xDrive, 2017-20 330i, 2015-20 M4, 2014-16 428i, 428i xDrive, 2012-20 Porsche 911","","528 ratings","","B07DYTPVR6","in Motorcycle Air Filters","","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","528 global ratings","https://www.amazon.sg/PC4255C-2012-16-2013-16-2012-18-2013-18/dp/B07DYTPVR6/ref=zg_bs_automotive_sccl_29/357-1402573-5534539?psc=1"
"2022-12-27","Car Fabric & Upholstery Care Hydrophobic Waterproof Protector And Stain Guard For Auto Interior Fabrics Seats Carpets And Floor Mats 250ML Multi","","52 ratings","","B07H4C8LJ3","","","","There are 0 reviews and 0 ratings from Singapore","52 global ratings","https://www.amazon.sg/Upholstery-Hydrophobic-Waterproof-Protector-Interior/dp/B07H4C8LJ3/ref=zg_bs_automotive_sccl_30/357-1402573-5534539?psc=1"
"2022-12-27","ATP AT-205 Re-Seal Stops Leaks, 8 Ounce Bottle","","15,525 ratings","ATP","B000NVW1LM","","","4.5 out of 5 stars","","15,525 global ratings","https://www.amazon.sg/ATP-AT-205-Re-Seal-Stops-Bottle/dp/B000NVW1LM/ref=zg_bs_automotive_sccl_31/357-1402573-5534539?psc=1"
"2022-12-27","Dr. X Metal Rust Remover - The Ultimate Rust Remover - 1 Qt, Remove Rust Stain, Remove Rust to Bare Metal in Minutes, Rust Remover for Auto Parts, Tools, and Hardware - Rust Removers Metal Treatment","","","Dr X The Ultimate Cleaner","B09KNXTQYC","","","","","","https://www.amazon.sg/Dr-Metal-Rust-Remover-Treatment/dp/B09KNXTQYC/ref=zg_bs_automotive_sccl_32/357-1402573-5534539?psc=1"
"2022-12-27","PG Hi Gloss Sealant Kit Set (250ml + Clay Bar)","","","Goodlife","B07PNZK45W","","","","","","https://www.amazon.sg/Gloss-Sealant-Kit-250ml-Clay/dp/B07PNZK45W/ref=zg_bs_automotive_sccl_33/357-1402573-5534539?psc=1"
"2022-12-27","kayme 6 Layers SUV Car Cover Waterproof All Weather for Automobiles, Outdoor Full Size Cover Rain Sun UV Protection with Zipper Cotton, Universal Fit for SUV (191""-200"")","","9,666 ratings","kayme","B0749LHZKH","in Car Exterior Accessories","","4.3 out of 5 stars","There are 0 reviews and 1 rating from Singapore","9,666 global ratings","https://www.amazon.sg/kayme-Waterproof-Automobiles-Protection-Universal/dp/B0749LHZKH/ref=zg_bs_automotive_sccl_34/357-1402573-5534539?psc=1"
"2022-12-27","Step Drill Bit, HSS M35 5% Cobalt Metric Step Drill Bit Set (4MM-32MM), 15 Sizes Step Bit for Impact Driver, Multiple Hole Stepped Up Bits for Stainless Steel Hard Metal and Cast Iron","","8 ratings","NewShark","B09C5JFB5X","","","4.3 out of 5 stars","","8 global ratings","https://www.amazon.sg/Cobalt-4MM-32MM-Multiple-Stepped-Stainless/dp/B09C5JFB5X/ref=zg_bs_automotive_sccl_35/357-1402573-5534539?psc=1"
"2022-12-27","HELLA H11 YL Twin Blister Xtreme Yellow Bulb (12V 55W), 2 Pack","","985 ratings","HELLA","B079VYZ2TP","in Car Lighting Assemblies & Components","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","985 global ratings","https://www.amazon.sg/H11-YL-Blister-Xtreme-Yellow/dp/B079VYZ2TP/ref=zg_bs_automotive_sccl_36/357-1402573-5534539?psc=1"
"2022-12-27","Philips Automotive Lighting H11 NightGuide Platinum Upgrade Headlight Bulb, Pack of 2","","339 ratings","Philips Automotive Lighting","B099G5Z1GY","","","","There are 0 reviews and 0 ratings from Singapore","339 global ratings","https://www.amazon.sg/Philips-Automotive-Lighting-NightGuide-Headlight/dp/B099G5Z1GY/ref=zg_bs_automotive_sccl_37/357-1402573-5534539?psc=1"
"2022-12-27","ORXPLUS TOOLS 5 Flute Countersink Drill Bit, 90 degree for 1/4'' Hex Shank Fit 3/16""-15/16""(4mm-23mm)","","1,307 ratings","ORX PLUS TOOLS","B08P54M1X8","in Wood Drill Bits","","4.4 out of 5 stars","","1,307 global ratings","https://www.amazon.sg/ORXPLUS-TOOLS-Countersink-degree-4mm-23mm/dp/B08P54M1X8/ref=zg_bs_automotive_sccl_38/357-1402573-5534539?psc=1"
"2022-12-27","Klein Tools MM400 Multimeter, Digital Auto Ranging, AC/DC Voltage, Current, Capacitance, Frequency, Duty-Cycle, Diode, Continuity, Temp 600V","","4,474 ratings","Klein Tools","B018EXZO8M","","","4.7 out of 5 stars","There are 0 reviews and 1 rating from Singapore","4,474 global ratings","https://www.amazon.sg/Klein-Tools-MM400-Multimeter-Capacitance/dp/B018EXZO8M/ref=zg_bs_automotive_sccl_39/357-1402573-5534539?psc=1"
"2022-12-27","BOSCH CO14B 14 Pc. Cobalt M42 Drill Bit Set","","3,741 ratings","","B07Q9HNTBH","","","4.7 out of 5 stars","There are 0 reviews and 1 rating from Singapore","3,741 global ratings","https://www.amazon.sg/BOSCH-CO14B-Pc-Cobalt-Drill/dp/B07Q9HNTBH/ref=zg_bs_automotive_sccl_40/357-1402573-5534539?psc=1"
"2022-12-27","120PCS Car Retainer Clips & Fastener Remover 6.3mm 8mm 9mm 10mm Expansion Screws Replacement Kit Bumper Push Rivet Clips, 1PC Fastener Remover","","","Feimvbe","B0B68LXJPG","","","","","","https://www.amazon.sg/Retainer-Fastener-Remover-Expansion-Replacement/dp/B0B68LXJPG/ref=zg_bs_automotive_sccl_41/357-1402573-5534539?psc=1"
"2022-12-27","Car Automotive Rv Standard Fuses - Auto ATO Blade Fuse Assortment Kit (2A 3A 5A 7.5A 10A 15A 20A 25A 30A 35A)","","6,996 ratings","Riseuvo","B07VWRK2VD","in Circuit Protection Products","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","6,996 global ratings","https://www.amazon.sg/Car-Automotive-Standard-Fuses-Assortment/dp/B07VWRK2VD/ref=zg_bs_automotive_sccl_42/357-1402573-5534539?psc=1"
"2022-12-27","Glade Scented Gel, Ocean Escape, 180g","","10 ratings","SC JOHNSON","B00EPUWC4S","","","","","10 global ratings","https://www.amazon.sg/Glade-Scented-Ocean-Escape-180g/dp/B00EPUWC4S/ref=zg_bs_automotive_sccl_43/357-1402573-5534539?psc=1"
"2022-12-27","CRC 06026 Heavy Duty Corrosion Inhibitor, 10 Wt Oz","","1,371 ratings","CRC","B0000AXYA0","","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","1,371 global ratings","https://www.amazon.sg/CRC-06026-Heavy-Corrosion-Inhibitor/dp/B0000AXYA0/ref=zg_bs_automotive_sccl_44/357-1402573-5534539?psc=1"
"2022-12-27","BLITZ SUS POWER AIR FILTER LM Genuine Replacement Type SH-697B for Honda 59613","S$40.84","","ブリッツ(Blitz)","B01193U5VK","","Amazon Japan","","","","https://www.amazon.sg/FILTER-Genuine-Replacement-SH-697B-59613/dp/B01193U5VK/ref=zg_bs_automotive_sccl_45/357-1402573-5534539?psc=1"
"2022-12-27","Votex - M16 X 1.5 MM Stainless Steel Engine Magnetic Oil Drain Plug with Neodymium Magnet - Made In USA - Part Number DP009","","199 ratings","Votex","B086RS22TT","in Car Engine Parts","","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","199 global ratings","https://www.amazon.sg/Votex-Stainless-Engine-Magnetic-Neodymium/dp/B086RS22TT/ref=zg_bs_automotive_sccl_46/357-1402573-5534539?psc=1"
"2022-12-27","Weiman Leather Wipes, 7 x 8 Inches, (Pack of 30)","","6,234 ratings","Weiman Products LLC","B00119XYFM","","","4.5 out of 5 stars","","6,234 global ratings","https://www.amazon.sg/Weiman-Leather-Wipes-Inches-Pack/dp/B00119XYFM/ref=zg_bs_automotive_sccl_47/357-1402573-5534539?psc=1"
"2022-12-27","FH Group FH3001BLACK Universal Fit Silicone Snake Pattern with Massaging Grip Black Steering Wheel Cover fits most Cars, SUVs, Trucks, and Vans","","2,772 ratings","FH Group","B01N0ZHOY8","in Car Steering Wheels, Parts & Accessories","","","There are 0 reviews and 0 ratings from Singapore","2,772 global ratings","https://www.amazon.sg/FH-FH3001BLACK-Universal-Silicone-Massaging/dp/B01N0ZHOY8/ref=zg_bs_automotive_sccl_48/357-1402573-5534539?psc=1"
"2022-12-27","Alpinestars ZX BALACLAVA EVO V2","","12 ratings","","B07ZWGKGY3","in Motorcycle Head & Face Covers","","4.5 out of 5 stars","","12 global ratings","https://www.amazon.sg/Alpinestars-ZX-BALACLAVA-EVO-V2S/dp/B07ZWGKGY3/ref=zg_bs_automotive_sccl_49/357-1402573-5534539?psc=1"
"2022-12-27","Stoplock 'Pro Elite' - Steering Wheel Lock for Cars - Secure Anti-Theft Device W/Keys","","13,758 ratings","Stoplock","B06XP21DK6","in Automotive Tyres & Wheels","","4.5 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","13,758 global ratings","https://www.amazon.sg/Stoplock-Pro-Elite-Steering-Anti-Theft/dp/B06XP21DK6/ref=zg_bs_automotive_sccl_50/357-1402573-5534539?psc=1"
"2022-12-27","150W Car Power Inverter Charger DC 12V to 110V AC Converter with 3.1A Dual USB Charger(Black)","","1,978 ratings","soyond","B08H7XDDKZ","in RV Parts & Accessories","","4.5 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","1,978 global ratings","https://www.amazon.sg/Power-Inverter-Charger-Converter-Black/dp/B08H7XDDKZ/ref=zg_bs_automotive_sccl_1/357-1402573-5534539?psc=1"
"2022-12-27","Grab Green Natural Room & Fabric Freshener, Phthalate-Free, Gardenia, 7 Ounce Bottle (3-Pack)","","893 ratings","MaddieBrit Products","B016SCDIZW","","","4.3 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","893 global ratings","https://www.amazon.sg/Grab-Green-Freshener-Phthalate-Free-Gardenia/dp/B016SCDIZW/ref=zg_bs_automotive_sccl_2/357-1402573-5534539?psc=1"
"2022-12-27","AstroAI Air Compressor Tire Inflator Portable Air Pump for Car Tires 12V DC Auto Tire Pump with Digital Pressure Gauge, 100PSI with Emergency LED Light for Car, Bicycle, Balloons and Other Inflatables","","54,961 ratings","AstroAI","B07QR4Q42L","","","4.5 out of 5 stars","","54,961 global ratings","https://www.amazon.sg/AstroAI-Compressor-Inflator-Emergency-Inflatables/dp/B07QR4Q42L/ref=zg_bs_automotive_sccl_3/357-1402573-5534539?psc=1"
"2022-12-27","RS Taichi RSR209 Rainbuster Boot Cover, Waterproof, Rain Boot Cover, Black, LL","S$50.48","","RSタイチ(RSTAICHI)","B003TF5SD2","","Amazon Japan","","","","https://www.amazon.sg/Taichi-RSR209-Rainbuster-Cover-Waterproof/dp/B003TF5SD2/ref=zg_bs_automotive_sccl_4/357-1402573-5534539?psc=1"
"2022-12-27","Pivo Starter Pack Remote Control Auto Tracking Smartphone Pod, Silver","","2,954 ratings","Pivo","B08HMMBJ7M","","","4.3 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","2,954 global ratings","https://www.amazon.sg/Pivo-Starter-Control-Tracking-Smartphone/dp/B08HMMBJ7M/ref=zg_bs_automotive_sccl_5/357-1402573-5534539?psc=1"
"2022-12-27","PBYMT Black Front Axle Nut Covers Caps Compatible for Harley Davidson Softail Sportster Dyna Touring Road King Electra Street Glide 2008-2021","","3,071 ratings","PBYMT","B07WQX8DDQ","","","4.5 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","3,071 global ratings","https://www.amazon.sg/PBYMT-Compatible-Davidson-Sportster-2008-2021/dp/B07WQX8DDQ/ref=zg_bs_automotive_sccl_6/357-1402573-5534539?psc=1"
"2022-12-27","Factory Effex (17-87232) 'YAMAHA' Vintage Raglan Baseball Shirt (White/Black, Medium)","","54 ratings","Factory Effex","B00K166SAO","","","4.3 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","54 global ratings","https://www.amazon.sg/Factory-Effex-17-87232-Vintage-Baseball/dp/B00K166SAO/ref=zg_bs_automotive_sccl_7/357-1402573-5534539?psc=1"
"2022-12-27","SW-MOTECH ION Tail Bag 7-15L | Small","S$188.74","52 ratings","SW-MOTECH","B07NWWPG18","in Motorcycle Boots & Luggage","Amazon Japan","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","52 global ratings","https://www.amazon.sg/SW-MOTECH-ION-Tail-7-15L-Small/dp/B07NWWPG18/ref=zg_bs_automotive_sccl_8/357-1402573-5534539?psc=1"
"2022-12-27","Mixsuper Custom Fit for Cargo Liner Mazda CX-5 2017 2018 2019 2020 2021 CX5 Trunk Mat Liner All Weather Durable Rear Cargo Floor Mat","","266 ratings","Mixsuper","B07XMK7FR3","","","4.5 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","266 global ratings","https://www.amazon.sg/Mixsuper-Custom-Cargo-Weather-Durable/dp/B07XMK7FR3/ref=zg_bs_automotive_sccl_9/357-1402573-5534539?psc=1"
"2022-12-27","K&N 81-0221 Sintered Porous Bronze Fuel Filter In-Line Gas Fltr 1/4 Singlepac","","753 ratings","K&N Engineering","B000E2AR70","","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","753 global ratings","https://www.amazon.sg/81-0221-Sintered-Porous-Bronze-Singlepac/dp/B000E2AR70/ref=zg_bs_automotive_sccl_10/357-1402573-5534539?psc=1"
"2022-12-27","Motion Pro 12-0054 Tygon Clear 1/4"" x 3' Premium Fuel Line","","94 ratings","Motion Pro","B0022ZYUFW","","","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","94 global ratings","https://www.amazon.sg/Motion-Pro-12-0054-Tygon-Premium/dp/B0022ZYUFW/ref=zg_bs_automotive_sccl_11/357-1402573-5534539?psc=1"
"2022-12-27","DEWALT Drill Bit Set, Black and Gold, 14-Piece (DWA1184)","","7,189 ratings","Dewalt","B07DH55YRX","","","","There are 0 reviews and 0 ratings from Singapore","7,189 global ratings","https://www.amazon.sg/DEWALT-Drill-Black-14-Piece-DWA1184/dp/B07DH55YRX/ref=zg_bs_automotive_sccl_12/357-1402573-5534539?psc=1"
"2022-12-27","Willie & Max Synthetic Leather Swing Arm Bag for Harley-Davidson Sportster One Size Vintage Brown","","765 ratings","Willie & Max","B008R0JU10","","","4.7 out of 5 stars","","765 global ratings","https://www.amazon.sg/Willie-Max-Synthetic-Harley-Davidson-Sportster/dp/B008R0JU10/ref=zg_bs_automotive_sccl_13/357-1402573-5534539?psc=1"
"2022-12-27","Camco TastePURE Water Filter with Flexible Hose Protector","","39,661 ratings","Camco","B0006IX87S","","","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","39,661 global ratings","https://www.amazon.sg/40043-TastePure-Flexible-Protector-Protects/dp/B0006IX87S/ref=zg_bs_automotive_sccl_14/357-1402573-5534539?psc=1"
"2022-12-27","Tie Down Anchors Truck Bed Side Wall Anchor for Jeep Gladiator Toyota Tacoma Tundra 2005-2021 Pickup Truck Accessories Supplies (4)","","","Tuklye","B0B4RV7LW3","in Truck Bed & Tailgate Accessories","","","","","https://www.amazon.sg/Anchors-Gladiator-2005-2021-Accessories-Supplies/dp/B0B4RV7LW3/ref=zg_bs_automotive_sccl_15/357-1402573-5534539?psc=1"
"2022-12-27","Philips H11 11362XUX2 Xtreme Ultinon LED Headlight Bulb (2 Bulbs)","S$100.98","66 ratings","Philips","B077P9Q22G","","Amazon Japan","4.3 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","66 global ratings","https://www.amazon.sg/Philips-11362XUX2-Xtreme-Ultinon-Headlight/dp/B077P9Q22G/ref=zg_bs_automotive_sccl_16/357-1402573-5534539?psc=1"
